"姓氏","拼音","人口","姓氏来源信息"
"史","Shǐ","约 250 万","史姓源出黄帝时创造文字的史皇仓颉。"
"唐","Táng","约 780 万","唐姓源出祁姓和姬姓，是一个多民族、多源流的姓氏。"
"费","Fèi","约 80 万","费姓源出嬴姓和姬姓，是一个多民族、多源流的姓氏。"
"廉","Lián","约 30 万","廉姓源出嬴姓，为颛顼帝的后裔。"
"岑","Cén","约 52 万","岑姓源出姬姓，为周文王异母弟耀之子渠的后裔。"
"薛","Xuē","约 500 万","薛姓源出任姓和妫姓，是一个多民族、多源流的姓氏。"
"雷","Léi","约 300 万","雷姓源出方雷氏和姜姓，是一个多民族、多源流的姓氏。"
"贺","Hè","约 280 万","贺姓源出庆姓，为春秋时期齐国公族庆封的后裔。"
"倪","Ní","约 140 万","倪姓源出曹姓，为春秋时期邾武公次子邾肥的后裔。"
"汤","Tāng","约 460 万","汤姓源出子姓，为商朝开国君主成汤的后裔。"
"滕","Téng","约 96 万","滕姓源出姬姓，为周文王第十四子滕错叔的后裔。"
"殷","Yīn","约 170 万","殷姓源出子姓，为商朝后期的都城殷的后裔。"
"罗","Luó","约 1300 万","罗姓源出妘姓，为颛顼帝的后裔。"
"毕","Bì","约 99 万","毕姓源出姬姓，为周文王第十五子毕公高的后裔。"
"郝","Hǎo","约 270 万","郝姓源出子姓和郝骨氏，是一个多民族、多源流的姓氏。"
"邬","Wū","约 61 万","邬姓源出妘姓和祁姓，是一个多民族、多源流的姓氏。"
"安","Ān","约 170 万","安姓是一个多民族、多源流的姓氏，主要源自安息国、鲜卑族等。"
"常","Cháng","约 280 万","常姓源出姬姓和恒姓，是一个多民族、多源流的姓氏。"
"乐","Lè","约 36 万","乐姓源出子姓和姬姓，是一个多民族、多源流的姓氏。"
"于","Yú","约 640 万","于姓源出姬姓，为周武王第三子叔虞的后裔。"
"时","Shí","约 67 万","时姓源出子姓和祁姓，是一个多民族、多源流的姓氏。"
"傅","Fù","约 610 万","傅姓源出姬姓和姚姓，是一个多民族、多源流的姓氏。"
"皮","Pí","约 14 万","皮姓源出姬姓，为春秋时期郑国大夫子皮的后裔。"
"卞","Biàn","约 31 万","卞姓源出姬姓，为周文王第六子曹叔振铎的后裔。"
"齐","Qí","约 170 万","齐姓源出姜姓，为姜子牙的后裔。"
"康","Kāng","约 330 万","康姓源出姬姓，为周武王之弟康叔的后裔。"
"伍","Wǔ","约 130 万","伍姓源出芈姓，为春秋时期楚国大夫伍参的后裔。"
"余","Yú","约 650 万","余姓源出姒姓和隗姓，是一个多民族、多源流的姓氏。"
"元","Yuán","约 200 万","元姓源出姬姓和拓跋姓，是一个多民族、多源流的姓氏。"
"卜","Bǔ","约 64 万","卜姓源出姒姓和姬姓，是一个多民族、多源流的姓氏。"
"顾","Gù","约 230 万","顾姓源出己姓和姒姓，是一个多民族、多源流的姓氏。"
"孟","Mèng","约 330 万","孟姓源出姬姓和子姓，是一个多民族、多源流的姓氏。"
"平","Píng","约 16 万","平姓源出姬姓和姜姓，是一个多民族、多源流的姓氏。"
"黄","Huáng","约 2870 万","黄姓源出嬴姓，为伯益的后裔。"
"和","Hé","约 15 万","和姓源出祝融氏和卞和，是一个多民族、多源流的姓氏。"
"穆","Mù","约 72 万","穆姓源出子姓和姬姓，是一个多民族、多源流的姓氏。"
"萧","Xiāo","约 708 万","萧姓源出子姓，为春秋时期宋国始祖微子启的后裔。"
"尹","Yǐn","约 220 万","尹姓源出少昊金天氏和兮甲，是一个多民族、多源流的姓氏。"
"姚","Yáo","约 520 万","姚姓源出虞舜，是一个非常古老的姓氏。"
"邵","Shào","约 300 万","邵姓源出姬姓，为周文王第五子召公奭的后裔。"
"湛","Zhàn","人口不详","湛姓源出姒姓和姬姓，是一个多民族、多源流的姓氏。"
"汪","Wāng","约 430 万","汪姓源出漆姓和姬姓，是一个多民族、多源流的姓氏。"
"祁","Qí","约 28 万","祁姓源出伊祁氏和姬姓，是一个多民族、多源流的姓氏。"
"毛","Máo","约 320 万","毛姓源出姬姓，为周文王之子毛伯郑的后裔。"
"禹","Yǔ","约 26 万","禹姓源出姒姓，为夏禹的后裔。"
"狄","Dí","约 23 万","狄姓源出姬姓和姮姓，是一个多民族、多源流的姓氏。"
"米","Mǐ","约 43 万","米姓源出西域米国，为昭武九姓之一。"
"贝","Bèi","约 14 万","贝姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"明","Míng","约 27 万","明姓源出谯明氏和姬姓，是一个多民族、多源流的姓氏。"
"臧","Zāng","约 39 万","臧姓源出姬姓，为春秋时期鲁国大夫臧僖伯的后裔。"
"计","Jì","约 13 万","计姓源出姒姓和地名，是一个多民族、多源流的姓氏。"
"伏","Fú","约 110 万","伏姓源出风姓，为伏羲氏的后裔。"
"成","Chéng","约 60 万","成姓源出姬姓和芈姓，是一个多民族、多源流的姓氏。"
"戴","Dài","约 470 万","戴姓源出子姓和姬姓，是一个多民族、多源流的姓氏。"
"谈","Tán","约 19 万","谈姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"宋","Sòng","约 1000 万","宋姓源出子姓，为商朝后裔。"
"茅","Máo","约 42 万","茅姓源出姬姓，为周公旦第三子茅叔的后裔。"
"庞","Páng","约 300 万","庞姓源出姬姓和高阳氏，是一个多民族、多源流的姓氏。"
"熊","Xióng","约 400 万","熊姓源出芈姓，为楚国君主的姓氏。"
"纪","Jì","约 130 万","纪姓源出姜姓，为炎帝的后裔。"
"舒","Shū","约 92 万","舒姓源出偃姓和姬姓，是一个多民族、多源流的姓氏。"
"屈","Qū","约 76 万","屈姓源出芈姓，为春秋时期楚国公族的后裔。"
"项","Xiàng","约 140 万","项姓源出姬姓和芈姓，是一个多民族、多源流的姓氏。"
"祝","Zhù","约 130 万","祝姓源出姬姓和任姓，是一个多民族、多源流的姓氏。"
"董","Dǒng","约 780 万","董姓源出己姓和姬姓，是一个多民族、多源流的姓氏。"
"梁","Liáng","约 1100 万","梁姓源出嬴姓和姬姓，是一个多民族、多源流的姓氏。"
"杜","Dù","约 520 万","杜姓源出祁姓，为帝尧的后裔。"
"阮","Ruǎn","约 100 万","阮姓源出偃姓和地名，是一个多民族、多源流的姓氏。"
"蓝","Lán","约 130 万","蓝姓源出芈姓和嬴姓，是一个多民族、多源流的姓氏。"
"闵","Mǐn","约 65 万","闵姓源出姬姓，为春秋时期鲁国君主鲁闵公的后裔。"
"席","Xí","约 57 万","席姓源出籍姓，为春秋时期晋国大夫籍谈的后裔。"
"季","Jì","约 110 万","季姓源出姬姓和芈姓，是一个多民族、多源流的姓氏。"
"麻","Má","约 23 万","麻姓源出芈姓和地名，是一个多民族、多源流的姓氏。"
"强","Qiáng","约 46 万","强姓源出姬姓和姜姓，是一个多民族、多源流的姓氏。"
"贾","Jiǎ","约 370 万","贾姓源出姬姓和狐偃之后，是一个多民族、多源流的姓氏。"
"路","Lù","约 100 万","路姓源出炎帝和黄帝之后，是一个多民族、多源流的姓氏。"
"娄","Lóu","约 70 万","娄姓源出姒姓和妘姓，是一个多民族、多源流的姓氏。"
"危","Wēi","约 48 万","危姓源出三苗族和姬姓，是一个多民族、多源流的姓氏。"
"江","Jiāng","约 362 万","江姓源出嬴姓，为颛顼帝玄孙伯益的后裔。"
"童","Tóng","约 112 万","童姓源出颛顼帝之子老童和胥童，是一个多民族、多源流的姓氏。"
"颜","Yán","约 170 万","颜姓源出曹姓和姬姓，是一个多民族、多源流的姓氏。"
"郭","Guō","约 1490 万","郭姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"梅","Méi","约 105 万","梅姓源出子姓，为商朝后裔。"
"盛","Shèng","约 86 万","盛姓源出姬姓，为周穆王时盛国的后裔。"
"林","Lín","约 1400 万","林姓源出子姓和姬姓，是一个多民族、多源流的姓氏。"
"刁","Diāo","约 32 万","刁姓源出姬姓和职业，是一个多民族、多源流的姓氏。"
"钟","Zhōng","约 624 万","钟姓源出子姓和嬴姓，是一个多民族、多源流的姓氏。"
"徐","Xú","约 2000 万","徐姓源出嬴姓，为伯益之子若木的后裔。"
"邱","Qiū","约 380 万","邱姓源出姜姓，为姜子牙的后裔。"
"骆","Luò","约 142 万","骆姓源出姜姓和嬴姓，是一个多民族、多源流的姓氏。"
"高","Gāo","约 1450 万","高姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。"
"夏","Xià","约 570 万","夏姓源出姒姓，为大禹的后裔。"
"蔡","Cài","约 650 万","蔡姓源出姬姓，为周文王第五子蔡叔度的后裔。"
"田","Tián","约 685 万","田姓源出妫姓，为舜帝的后裔。"
"樊","Fán","约 220 万","樊姓源出姬姓和子姓，是一个多民族、多源流的姓氏。"
"胡","Hú","约 1650 万","胡姓源出妫姓和姬姓，是一个多民族、多源流的姓氏。"
"凌","Líng","约 80 万","凌姓源出姬姓，为周文王第九子康叔的后裔。"
"霍","Huò","约 96 万","霍姓源出姬姓，为周文王第六子霍叔处的后裔。"
"虞","Yú","约 65 万","虞姓源出姚姓和姬姓，是一个多民族、多源流的姓氏。"
"万","Wàn","约 270 万","万姓源出姬姓和芮姓，是一个多民族、多源流的姓氏。"
"支","Zhī","约 100 万","支姓源出姬姓和月支国，是一个多民族、多源流的姓氏。"
"柯","Kē","约 110 万","柯姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"昝","Zǎn","约 50 万","昝姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"管","Guǎn","约 110 万","管姓源出姬姓，为周文王第三子管叔鲜的后裔。"
"卢","Lú","约 650 万","卢姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。"
"莫","Mò","约 230 万","莫姓源出高阳氏和芈姓，是一个多民族、多源流的姓氏。"
"经","Jīng","约 110 万","经姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"房","Fáng","约 52 万","房姓源出祁姓，为帝尧的后裔。"
"裘","Qiú","约 32 万","裘姓源出姬姓和职业，是一个多民族、多源流的姓氏。"
"缪","Miào","约 50 万","缪姓源出嬴姓和姬姓，是一个多民族、多源流的姓氏。"
"干","Gān","约 15 万","干姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"解","Xiè","约 68 万","解姓源出姬姓，为周文王之子唐叔虞的后裔。"
"应","Yīng","约 50 万","应姓源出姬姓，为周武王第四子应叔的后裔。"
"宗","Zōng","约 30 万","宗姓源出子姓和官职，是一个多民族、多源流的姓氏。"
"丁","Dīng","约 580 万","丁姓源出姜姓和子姓，是一个多民族、多源流的姓氏。"
"宣","Xuān","约 16 万","宣姓源出姬姓和子姓，是一个多民族、多源流的姓氏。"
"贲","Bēn","约 12 万","贲姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"邓","Dèng","约 920 万","邓姓源出曼姓和李姓，是一个多民族、多源流的姓氏。"
"郁","Yù","约 40 万","郁姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"单","Shàn","约 100 万","单姓源出姬姓，为周文王之子姬臻的后裔。"
"杭","Háng","约 20 万","杭姓源出姒姓和地名，是一个多民族、多源流的姓氏。"
"洪","Hóng","约 240 万","洪姓源出共工氏和姬姓，是一个多民族、多源流的姓氏。"
"包","Bāo","约 480 万","包姓源出芈姓和鲍姓，是一个多民族、多源流的姓氏。"
"诸","Zhū","约 40 万","诸姓源出姒姓和姬姓，是一个多民族、多源流的姓氏。"
"左","Zuǒ","约 110 万","左姓源出官名和姜姓，是一个多民族、多源流的姓氏。"
"石","Shí","约 410 万","石姓源出姬姓和子姓，是一个多民族、多源流的姓氏。"
"崔","Cuī","约 420 万","崔姓源出姜姓，为姜子牙的后裔。"
"吉","Jí","约 60 万","吉姓源出姞姓和官职，是一个多民族、多源流的姓氏。"
"钮","Niǔ","约 16 万","钮姓源出晋国钮宣子和满族姓氏，是一个多民族、多源流的姓氏。"
"龚","Gōng","约 300 万","龚姓源出姬姓和共国，是一个多民族、多源流的姓氏。"
"程","Chéng","约 700 万","程姓源出风姓和姬姓，是一个多民族、多源流的姓氏。"
"嵇","Jī","约 40 万","嵇姓源出姒姓和姬姓，是一个多民族、多源流的姓氏。"
"邢","Xíng","约 120 万","邢姓源出姬姓，为周公旦第四子邢侯的后裔。"
"滑","Huá","约 4 万","滑姓源出姬姓，为周朝滑国的后裔。"
"裴","Péi","约 110 万","裴姓源出嬴姓和地名，是一个多民族、多源流的姓氏。"
"陆","Lù","约 420 万","陆姓源出妫姓和允姓，是一个多民族、多源流的姓氏。"
"荣","Róng","约 45 万","荣姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"翁","Wēng","约 56 万","翁姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"荀","Xún","约 100 万","荀姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"羊","Yáng","约 10 万","羊姓源出祁姓和姬姓，是一个多民族、多源流的姓氏。"
"於","Yū","约 2 万","於姓源出黄帝臣於则和地名，是一个多民族、多源流的姓氏。"
"惠","Huì","约 45 万","惠姓源出姬姓和子姓，是一个多民族、多源流的姓氏。"
"甄","Zhēn","约 45 万","甄姓源出姚姓和官职，是一个多民族、多源流的姓氏。"
"麴","Qū","约 1 万","麴姓源出官职和地名，是一个多民族、多源流的姓氏。"
"家","Jiā","约 5 万","家姓源出姬姓，为周考王的后裔。"
"封","Fēng","约 40 万","封姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"芮","Ruì","约 20 万","芮姓源出姬姓，为周武王封卿士姬良夫于芮的后裔。"
"羿","Yì","约 1 万","羿姓源出有穷氏，为夏朝东夷族有穷氏部落首领后羿的后裔。"
"储","Chǔ","约 20 万","储姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"靳","Jìn","约 100 万","靳姓源出芈姓，为春秋时期楚国大夫靳尚的后裔。"
"汲","Jí","约 10 万","汲姓源出姬姓，为春秋时期卫国大夫汲黯的后裔。"
"邴","Bǐng","约 5 万","邴姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"糜","Mí","约 2 万","糜姓源出姒姓和地名，是一个多民族、多源流的姓氏。"
"松","Sōng","约 12 万","松姓源出秦朝，为秦始皇封松为五大夫的后裔。"
"井","Jǐng","约 27 万","井姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。"
"段","Duàn","约 300 万","段姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"富","Fù","约 40 万","富姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"巫","Wū","约 5 万","巫姓源出上古，为巫彭、巫咸的后裔。"
"乌","Wū","约 15 万","乌姓源出金天氏和地名，是一个多民族、多源流的姓氏。"
"焦","Jiāo","约 60 万","焦姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。"
"巴","Bā","约 20 万","巴姓源出姬姓和少数民族，是一个多民族、多源流的姓氏。"
"弓","Gōng","约 1 万","弓姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"牧","Mù","约 5 万","牧姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"隗","Kuí","约 6 万","隗姓源出赤狄和姬姓，是一个多民族、多源流的姓氏。"
"山","Shān","约 12 万","山姓源出烈山氏和官职，是一个多民族、多源流的姓氏。"
"谷","Gǔ","约 100 万","谷姓源出嬴姓和地名，是一个多民族、多源流的姓氏。"
"车","Chē","约 60 万","车姓源出子姓和姬姓，是一个多民族、多源流的姓氏。"
"侯","Hóu","约 400 万","侯姓源出姬姓和姒姓，是一个多民族、多源流的姓氏。"
"宓","Fú","约 3 万","宓姓源出伏羲氏和姬姓，是一个多民族、多源流的姓氏。"
"蓬","Péng","约 15 万","蓬姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"全","Quán","约 40 万","全姓源出泉姓和官职，是一个多民族、多源流的姓氏。"
"郗","Xī","约 5 万","郗姓源出姬姓，为周文王之子郗伯的后裔。"
"班","Bān","约 27 万","班姓源出芈姓和姬姓，是一个多民族、多源流的姓氏。"
"仰","Yǎng","约 2 万","仰姓源出嬴姓和地名，是一个多民族、多源流的姓氏。"
"秋","Qiū","约 10 万","秋姓源出子姓和官职，是一个多民族、多源流的姓氏。"
"仲","Zhòng","约 35 万","仲姓源出子姓和姬姓，是一个多民族、多源流的姓氏。"
"伊","Yī","约 20 万","伊姓源出伊祁氏和地名，是一个多民族、多源流的姓氏。"
"宫","Gōng","约 28 万","宫姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"宁","Nìng","约 80 万","宁姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"仇","Qiú","约 53 万","仇姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"栾","Luán","约 40 万","栾姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"暴","Bào","约 2 万","暴姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"甘","Gān","约 15 万","甘姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"钭","Tǒu","约 5 万","钭姓源出姜姓，为春秋时期齐国大夫钭滔的后裔。"
"厉","Lì","约 20 万","厉姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。"
"戎","Róng","约 15 万","戎姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。"
"祖","Zǔ","约 40 万","祖姓源出子姓，为商朝王室的后裔。"
"武","Wǔ","约 220 万","武姓源出子姓和姬姓，是一个多民族、多源流的姓氏。"
"符","Fú","约 100 万","符姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"刘","Liú","约 7000 万","刘姓源出祁姓和姬姓，是一个多民族、多源流的姓氏。"
"景","Jǐng","约 80 万","景姓源出芈姓和姬姓，是一个多民族、多源流的姓氏。"
"詹","Zhān","约 100 万","詹姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"束","Shù","约 15 万","束姓源出妫姓，为春秋时期齐国大夫束晳的后裔。"
"龙","Lóng","约 280 万","龙姓源出御龙氏和地名，是一个多民族、多源流的姓氏。"
"叶","Yè","约 700 万","叶姓源出芈姓，为春秋时期楚国叶公沈诸梁的后裔。"
"幸","Xìng","约 8 万","幸姓源出宠臣和地名，是一个多民族、多源流的姓氏。"
"司","Sī","约 15 万","司姓源出官职和姬姓，是一个多民族、多源流的姓氏。"
"韶","Sháo","约 10 万","韶姓源出虞舜和地名，是一个多民族、多源流的姓氏。"
"郜","Gào","约 15 万","郜姓源出姬姓，为周文王之子郜叔的后裔。"
"黎","Lí","约 200 万","黎姓源出九黎和姬姓，是一个多民族、多源流的姓氏。"
"蓟","Jì","约 2 万","蓟姓源出姬姓，为周武王封黄帝之后于蓟的后裔。"
"薄","Bó","约 15 万","薄姓源出姜姓和子姓，是一个多民族、多源流的姓氏。"
"印","Yìn","约 10 万","印姓源出子姓，为春秋时期郑国大夫印段的后裔。"
"宿","Sù","约 12 万","宿姓源出风姓，为伏羲氏的后裔。"
"白","Bái","约 400 万","白姓源出芈姓和姬姓，是一个多民族、多源流的姓氏。"
"怀","Huái","约 15 万","怀姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"蒲","Pú","约 100 万","蒲姓源出姒姓和地名，是一个多民族、多源流的姓氏。"
"邰","Tái","约 21 万","邰姓源出姜姓，为后稷的后裔。"
"从","Cóng","约 20 万","从姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"鄂","È","约 30 万","鄂姓源出姞姓和地名，是一个多民族、多源流的姓氏。"
"索","Suǒ","约 17 万","索姓源出子姓，为商朝七族之一。"
"咸","Xián","约 8 万","咸姓源出高辛氏和地名，是一个多民族、多源流的姓氏。"
"籍","Jí","约 4 万","籍姓源出姬姓，为春秋时期晋国大夫籍谈的后裔。"
"赖","Lài","约 250 万","赖姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"卓","Zhuó","约 50 万","卓姓源出芈姓，为春秋时期楚国大夫卓滑的后裔。"
"蔺","Lìn","约 20 万","蔺姓源出姬姓，为春秋时期晋国大夫蔺康的后裔。"
"屠","Tú","约 25 万","屠姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"蒙","Méng","约 60 万","蒙姓源出高阳氏和姬姓，是一个多民族、多源流的姓氏。"
"池","Chí","约 50 万","池姓源出嬴姓和地名，是一个多民族、多源流的姓氏。"
"乔","Qiáo","约 240 万","乔姓源出姬姓和匈奴，是一个多民族、多源流的姓氏。"
"阴","Yīn","约 12 万","阴姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"郁","Yù","约 40 万","郁姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"胥","Xū","约 8 万","胥姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"能","Nài","约 5 万","能姓源出芈姓，为春秋时期楚国熊挚的后裔。"
"苍","Cāng","约 2 万","苍姓源出姬姓和高阳氏，是一个多民族、多源流的姓氏。"
"双","Shuāng","约 10 万","双姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"闻","Wén","约 30 万","闻姓源出复姓闻人氏，是一个多民族、多源流的姓氏。"
"莘","Shēn","约 1 万","莘姓源出姒姓和地名，是一个多民族、多源流的姓氏。"
"党","Dǎng","约 400 万","党姓源出姬姓和羌族，是一个多民族、多源流的姓氏。"
"翟","Zhái","约 170 万","翟姓源出隗姓和姬姓，是一个多民族、多源流的姓氏。"
"谭","Tán","约 500 万","谭姓源出姒姓和地名，是一个多民族、多源流的姓氏。"
"贡","Gòng","约 12 万","贡姓源出端木赐和官职，是一个多民族、多源流的姓氏。"
"劳","Láo","约 40 万","劳姓源出东夷和地名，是一个多民族、多源流的姓氏。"
"逄","Páng","约 10 万","逄姓源出姜姓，为炎帝的后裔。"
"姬","Jī","约 54 万","姬姓是黄帝的姓氏，也是周朝的国姓。"
"申","Shēn","约 170 万","申姓源出姜姓，为炎帝的后裔。"
"扶","Fú","约 5 万","扶姓源出上古三皇之首伏羲氏和官职，是一个多民族、多源流的姓氏。"
"堵","Dǔ","约 5 万","堵姓源出姬姓，为春秋时期郑国大夫堵叔的后裔。"
"冉","Rǎn","约 60 万","冉姓源出姬姓和高辛氏，是一个多民族、多源流的姓氏。"
"宰","Zǎi","约 5 万","宰姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
